"Order","Price","LotFrontage","LotArea","LotConfig","HouseStyle","Quality","Condition","YearBuilt","YearRemodel","ExteriorQ","ExteriorC","Foundation","BasementHt","BasementC","BasementFin","BasementFinSF","BasementUnFinSF","BasementSF","Heating","HeatingQC","CentralAir","FirstSF","SecondSF","GroundSF","BasementFBath","BasementHBath","FullBath","HalfBath","Bedroom","KitchenQ","TotalRooms","Fireplaces","GarageType","GarageCars","GarageSF","GarageQ","GarageC","WoodDeckSF","OpenPorchSF","EnclosedPorchSF","ScreenPorchSF"
2114,277,0,14364,"Inside","2Story",7,5,1988,1989,"Gd","TA","CBlock","Gd","TA","GLQ",1065,92,1157,"GasA","Ex","Y",1180,882,2062,1,0,2,1,3,"TA",7,1,"Attchd",2,454,"TA","TA",60,55,0,154
1211,140,80,9200,"Inside","1Story",6,6,1965,1965,"TA","TA","CBlock","TA","TA","Rec",892,244,1136,"GasA","TA","Y",1136,0,1136,1,0,1,0,3,"TA",5,1,"Attchd",1,384,"TA","TA",426,0,0,0
370,185,85,11900,"Inside","2Story",5,6,1977,1977,"TA","TA","PConc","Gd","TA","ALQ",400,722,1122,"GasA","Ex","Y",946,988,1934,1,0,2,1,3,"TA",6,1,"Attchd",2,567,"TA","TA",0,176,0,200
1095,184,60,15384,"Inside","2Story",7,5,2004,2005,"Gd","TA","PConc","Gd","TA","GLQ",724,64,788,"GasA","Ex","Y",788,702,1490,1,0,2,1,3,"Gd",8,1,"Attchd",2,388,"TA","TA",100,75,0,0
2872,223,0,16381,"Inside","1Story",6,5,1969,1969,"Gd","Gd","CBlock","TA","TA","Rec",1110,734,1844,"GasA","Gd","Y",1844,0,1844,1,0,2,0,3,"Gd",7,1,"Attchd",2,540,"TA","TA",0,73,216,0
739,119,50,6000,"Inside","1.5Unf",6,7,1926,2004,"Gd","TA","PConc","TA","TA","Unf",0,884,884,"GasA","Gd","Y",904,0,904,0,0,1,0,2,"TA",4,0,"Detchd",1,180,"TA","TA",0,0,105,0
175,107.4,60,5790,"Corner","2Story",3,6,1915,1950,"Gd","Gd","CBlock","Fa","TA","Unf",0,840,840,"GasA","Gd","N",840,765,1605,0,0,2,0,3,"TA",8,0,"Detchd",1,379,"TA","TA",0,0,202,0
2448,280,78,12011,"CulDSac","2Story",8,5,1998,1998,"Gd","TA","PConc","Gd","TA","GLQ",956,130,1086,"GasA","Ex","Y",1086,838,1924,1,0,2,1,3,"Gd",7,1,"Attchd",2,592,"TA","TA",208,75,0,374
1490,165,64,12102,"Inside","SFoyer",5,5,1976,1976,"TA","TA","CBlock","Gd","Gd","ALQ",456,0,456,"GasA","Ex","Y",1033,0,1033,0,1,1,0,3,"TA",6,0,"BuiltIn",2,504,"Fa","TA",224,0,0,0
606,167,100,10004,"Inside","1Story",6,6,1964,1964,"TA","TA","CBlock","TA","TA","Rec",196,975,1516,"GasA","TA","Y",1516,0,1516,0,0,1,1,3,"TA",6,0,"Attchd",2,472,"TA","TA",0,0,0,152
254,320,90,12376,"Corner","2Story",7,5,1990,1990,"TA","TA","PConc","Gd","TA","GLQ",1470,203,1673,"GasA","Gd","Y",1699,1523,3222,1,0,3,0,5,"Gd",11,2,"Attchd",3,594,"TA","TA",367,0,0,0
1535,110,0,9260,"Inside","1.5Fin",5,4,1938,1950,"TA","TA","BrkTil","TA","TA","Unf",0,884,884,"GasA","TA","Y",932,442,1374,0,0,1,0,3,"TA",6,0,"Detchd",1,225,"TA","TA",64,0,0,100
2293,153.5,72,9129,"Inside","SFoyer",5,5,1977,1977,"TA","TA","PConc","Gd","TA","GLQ",923,0,923,"GasA","TA","Y",1008,0,1008,1,0,1,0,1,"Gd",4,1,"Attchd",2,678,"TA","TA",201,66,0,0
2326,176.5,63,9084,"Inside","2Story",7,5,1998,1998,"TA","TA","PConc","Gd","TA","Unf",0,935,935,"GasA","Gd","Y",955,677,1632,0,0,2,1,3,"TA",8,1,"Attchd",2,462,"TA","TA",0,28,0,0
2610,159,77,9786,"Inside","1.5Fin",6,7,1962,1981,"TA","TA","CBlock","TA","TA","Rec",600,312,912,"GasA","TA","Y",1085,649,1734,0,0,1,1,3,"Gd",7,1,"Attchd",2,440,"TA","TA",0,0,0,128
82,171,70,8400,"Inside","2Story",6,6,1980,1981,"TA","TA","CBlock","Gd","TA","Unf",0,650,650,"GasA","TA","Y",888,676,1564,0,0,2,1,3,"TA",7,1,"Attchd",2,476,"TA","TA",0,50,0,204
798,105,60,9060,"Inside","1.5Fin",6,5,1939,1950,"TA","TA","BrkTil","TA","TA","Rec",204,356,560,"GasA","TA","Y",698,560,1258,0,0,1,0,2,"TA",6,0,"Detchd",1,280,"TA","TA",0,0,0,0
1992,125,60,9600,"Inside","1.5Fin",5,8,1925,1994,"TA","TA","PConc","TA","TA","Unf",0,702,702,"GasA","Gd","Y",842,630,1472,0,0,1,0,3,"Gd",6,0,"Detchd",1,250,"TA","Fa",0,0,84,0
2139,130,39,16300,"CulDSac","1Story",5,4,1977,1977,"TA","TA","CBlock","Gd","TA","Rec",60,399,876,"GasA","TA","Y",907,0,907,1,0,1,0,3,"TA",5,0,"Attchd",1,308,"TA","TA",0,0,0,0
656,135,60,10410,"Inside","1.5Fin",5,7,1916,1987,"TA","TA","CBlock","Fa","TA","Unf",0,660,660,"GasA","Ex","Y",808,704,1656,0,0,2,1,3,"TA",8,0,"Detchd",1,180,"Fa","Fa",0,0,0,0
2491,126,0,9308,"CulDSac","1Story",5,5,1965,1965,"TA","TA","CBlock","TA","TA","Rec",554,430,984,"GasA","TA","Y",984,0,984,0,0,1,0,3,"TA",5,0,"Attchd",1,310,"TA","TA",0,0,0,0
39,395.192,83,10159,"Inside","1Story",9,5,2009,2010,"Ex","TA","PConc","Ex","TA","GLQ",1646,284,1930,"GasA","Ex","Y",1940,0,1940,1,0,2,1,3,"Ex",8,1,"Attchd",3,606,"TA","TA",168,95,0,0
683,118.9,60,7200,"Corner","1Story",5,7,1952,1952,"TA","Gd","CBlock","TA","Gd","ALQ",630,0,732,"GasA","TA","Y",732,0,732,1,0,1,0,2,"TA",4,0,"Detchd",1,240,"TA","TA",0,68,0,0
1176,170,24,2645,"Inside","2Story",8,5,1999,1999,"Gd","TA","PConc","Gd","TA","GLQ",612,348,960,"GasA","Ex","Y",962,624,1586,1,0,2,1,3,"Gd",7,0,"Detchd",2,480,"TA","TA",169,0,0,0
1274,138,60,8064,"Inside","1.5Fin",6,6,1948,1950,"TA","TA","CBlock","TA","TA","ALQ",315,453,768,"GasA","Ex","Y",819,501,1320,0,0,2,0,3,"TA",5,0,"Detchd",2,576,"TA","TA",108,0,0,0
873,210,70,8750,"Inside","1Story",7,5,1997,1998,"Gd","TA","PConc","Gd","TA","GLQ",1111,306,1417,"GasA","Ex","Y",1417,0,1417,1,0,2,0,3,"Gd",7,1,"Attchd",2,511,"TA","TA",60,0,0,117
2225,215,0,21579,"CulDSac","1Story",6,6,1968,1968,"TA","TA","PConc","Gd","TA","BLQ",813,675,1488,"GasA","Ex","Y",1488,0,1488,0,1,2,0,3,"TA",7,2,"Attchd",2,552,"TA","TA",0,0,216,0
1221,52,56,4130,"Inside","1Story",3,6,1935,2003,"Gd","TA","CBlock","TA","TA","Unf",0,270,270,"GasA","Gd","Y",729,0,729,0,0,1,0,2,"TA",5,0,"None",0,0,"None","None",0,0,0,0
1903,64.5,50,5000,"Inside","1Story",3,3,1946,1950,"Fa","Fa","CBlock","Fa","Fa","LwQ",299,367,666,"GasA","Fa","N",666,0,666,0,1,1,0,2,"Gd",4,0,"None",0,0,"None","None",0,52,0,0
2039,101,60,7200,"Inside","2.5Unf",5,7,1920,1996,"TA","TA","BrkTil","TA","Fa","Unf",0,530,530,"GasA","TA","N",581,530,1111,0,0,1,0,3,"Fa",6,0,"Detchd",1,288,"TA","TA",0,0,144,0
1629,163.9,0,9125,"Inside","SLvl",7,5,1992,1992,"TA","TA","PConc","Gd","TA","Unf",0,384,384,"GasA","Gd","Y",812,670,1482,0,0,2,1,3,"Gd",7,1,"Attchd",2,392,"TA","TA",100,25,0,0
1559,65,60,9000,"Inside","2Story",4,6,1920,1950,"TA","TA","Stone","Fa","Fa","Unf",0,592,592,"GasA","Ex","Y",432,432,864,0,0,1,1,3,"Fa",5,0,"Detchd",1,216,"Fa","Fa",0,30,160,0
116,197.5,78,9360,"Inside","1Story",6,7,1972,2006,"TA","TA","CBlock","TA","TA","ALQ",982,179,1161,"GasA","TA","Y",1381,0,1381,1,0,1,1,3,"Gd",5,1,"Attchd",2,676,"TA","TA",0,0,0,0
2744,123.5,57,6420,"Inside","1Story",5,7,1952,1952,"TA","TA","PConc","Ex","Gd","LwQ",210,219,980,"GasA","Fa","Y",1148,0,1148,0,1,1,0,2,"TA",6,0,"Detchd",1,308,"TA","TA",0,0,0,0
1835,214,45,4379,"FR2","1Story",8,5,2004,2004,"Gd","TA","PConc","Gd","TA","GLQ",851,527,1378,"GasA","Ex","Y",1378,0,1378,1,0,2,0,2,"Gd",6,1,"Attchd",2,540,"TA","TA",160,56,0,0
1591,146,77,9278,"FR2","1Story",5,5,2007,2008,"TA","TA","PConc","Gd","TA","Unf",0,1092,1092,"GasA","Ex","Y",1092,0,1092,0,0,1,0,2,"TA",5,0,"None",0,0,"None","None",0,52,0,0
2620,147.5,60,12144,"Inside","1.5Fin",4,6,1950,1950,"TA","TA","CBlock","TA","TA","Rec",455,455,910,"GasA","Gd","Y",910,611,1521,0,0,1,1,3,"Gd",6,0,"Detchd",1,597,"Fa","TA",199,0,168,0
2605,160,60,10800,"Corner","1.5Fin",5,4,1900,1970,"TA","Fa","CBlock","TA","Fa","BLQ",664,290,954,"GasA","TA","N",1766,648,2414,0,0,2,0,3,"TA",10,1,"Attchd",2,520,"TA","Fa",142,0,0,0
144,148,73,8760,"Inside","1Story",6,6,1959,1959,"TA","TA","CBlock","TA","TA","Unf",0,1194,1194,"GasA","TA","Y",1194,0,1194,1,0,1,0,3,"TA",6,0,"Attchd",1,312,"TA","TA",0,0,120,0
2257,330,0,9763,"Inside","1Story",7,5,1998,1998,"Gd","TA","PConc","Gd","TA","GLQ",1102,328,1502,"GasA","Ex","Y",1502,0,1502,1,0,1,1,1,"Gd",5,1,"Attchd",1,286,"TA","TA",0,0,0,0
2268,180.5,0,6718,"Inside","1Story",8,5,2001,2001,"Gd","TA","PConc","Ex","TA","GLQ",250,1017,1267,"GasA","Ex","Y",1312,0,1312,0,0,2,0,2,"Gd",5,0,"Attchd",2,471,"TA","TA",256,28,0,0
2057,108,0,8978,"Corner","1Story",5,5,1968,1968,"TA","TA","PConc","TA","TA","Unf",0,948,948,"GasA","TA","Y",948,0,948,0,0,1,0,3,"TA",6,0,"Attchd",1,300,"TA","TA",147,0,0,0
742,133,51,6120,"Inside","1.5Fin",4,7,1935,1995,"TA","TA","BrkTil","TA","TA","Unf",0,884,884,"GasA","Ex","Y",989,584,1573,0,0,1,0,3,"Gd",6,0,"Detchd",1,240,"TA","TA",0,0,54,120
1454,230,75,9742,"Inside","1Story",8,5,2002,2002,"Gd","TA","PConc","Gd","TA","Unf",0,1777,1777,"GasA","Ex","Y",1795,0,1795,0,0,2,0,3,"Gd",7,1,"Attchd",2,534,"TA","TA",171,159,0,0
2669,125,65,9750,"Inside","1Story",5,5,1958,1958,"TA","TA","CBlock","TA","TA","Unf",0,960,960,"GasA","Ex","Y",960,0,960,0,0,1,0,3,"TA",5,0,"Detchd",2,624,"TA","TA",0,0,0,0
753,104,92,5520,"Corner","2.5Fin",6,6,1912,1950,"TA","TA","CBlock","TA","TA","Unf",0,755,755,"GasA","Ex","Y",929,929,2229,0,0,1,0,5,"TA",8,0,"None",0,0,"None","None",0,198,30,0
2194,119,60,8190,"Inside","1Story",4,6,1954,1954,"TA","TA","CBlock","TA","TA","Rec",732,216,948,"GasA","Ex","Y",948,0,948,1,0,1,0,3,"TA",5,1,"Detchd",1,280,"TA","TA",0,36,0,0
119,143,0,9790,"Inside","1Story",6,5,1963,1963,"TA","TA","CBlock","TA","TA","ALQ",569,678,1328,"GasA","TA","Y",1328,0,1328,1,0,1,1,3,"TA",6,2,"Attchd",2,528,"TA","TA",0,26,0,0
2709,153.6,0,11327,"Inside","1Story",5,6,1967,1967,"TA","TA","CBlock","TA","TA","ALQ",779,285,1064,"GasA","TA","Y",1064,0,1064,0,1,1,0,3,"TA",6,1,"Attchd",2,528,"TA","TA",314,48,0,0
2344,229,0,13837,"Corner","1.5Fin",7,5,1988,1988,"Gd","Gd","PConc","Gd","Gd","GLQ",1002,0,1204,"GasA","Gd","Y",1377,806,2183,0,0,2,1,4,"Gd",9,0,"Attchd",3,786,"TA","TA",0,0,0,0
1044,85.4,21,1680,"Inside","2Story",6,5,1971,1971,"TA","TA","CBlock","TA","TA","ALQ",387,96,483,"GasA","TA","Y",483,504,987,0,0,1,1,2,"TA",4,0,"Detchd",1,264,"TA","TA",0,0,0,0
554,76,60,9000,"Corner","1.5Unf",6,3,1928,1950,"TA","TA","BrkTil","Fa","Fa","Unf",0,784,784,"GasA","TA","N",784,0,784,0,0,1,0,2,"TA",5,0,"Detchd",2,360,"Fa","Fa",0,0,91,0
1967,156.5,80,8000,"Inside","1Story",5,5,1960,1960,"TA","TA","CBlock","TA","TA","BLQ",1098,125,1377,"GasA","TA","Y",1377,0,1377,1,0,1,0,3,"TA",6,2,"Attchd",1,351,"TA","TA",0,0,0,0
2765,190,0,36500,"Inside","1Story",5,5,1964,1964,"TA","Gd","CBlock","TA","TA","Rec",812,812,1624,"GasA","Fa","Y",1582,0,1582,0,1,2,0,4,"TA",7,0,"Attchd",2,390,"TA","TA",168,198,0,0
2468,185,60,7200,"Inside","1Story",6,5,2006,2006,"Gd","TA","PConc","Gd","TA","GLQ",905,357,1262,"GasA","Gd","Y",1262,0,1262,0,0,2,0,2,"Gd",5,0,"Attchd",2,572,"TA","TA",0,120,0,0
508,275,86,11194,"Inside","1Story",8,5,2008,2008,"Gd","TA","PConc","Gd","TA","Unf",0,1696,1696,"GasA","Ex","Y",1696,0,1696,0,0,2,0,3,"Gd",7,0,"Attchd",3,972,"TA","TA",120,56,0,0
2132,217.5,0,8826,"Inside","2Story",7,5,2000,2000,"Gd","TA","PConc","Gd","TA","GLQ",841,144,985,"GasA","Ex","Y",985,857,1842,1,0,2,1,3,"Gd",7,1,"Attchd",2,486,"TA","TA",193,96,0,0
1170,290,42,4385,"Inside","1Story",9,5,2001,2001,"Gd","TA","PConc","Ex","TA","GLQ",964,455,1419,"GasA","Ex","Y",1419,0,1419,1,0,1,1,2,"Ex",5,1,"Attchd",2,588,"TA","TA",155,58,0,0
2342,470,90,18261,"Inside","1Story",9,5,2005,2005,"Ex","TA","PConc","Ex","TA","GLQ",1416,494,1910,"GasA","Ex","Y",2000,0,2000,1,0,2,1,3,"Ex",8,2,"Attchd",3,722,"TA","TA",351,102,0,123
1269,98.3,60,7200,"Inside","1Story",5,5,1950,1950,"TA","TA","CBlock","None","None","None",0,0,0,"GasA","Gd","Y",1048,0,1048,0,0,1,0,3,"TA",7,0,"Detchd",2,420,"TA","TA",0,27,0,0
432,451.95,97,13478,"Corner","2Story",10,5,2008,2008,"Ex","TA","PConc","Ex","TA","GLQ",1338,384,1722,"GasA","Ex","Y",1728,568,2296,1,0,2,1,3,"Ex",10,1,"BuiltIn",3,842,"TA","TA",382,274,0,0
1363,120,0,10320,"Inside","1.5Fin",5,6,1915,1978,"TA","Fa","BrkTil","TA","Fa","Unf",0,880,880,"GasA","Gd","Y",880,428,1308,0,0,2,0,2,"TA",6,0,"Detchd",2,400,"Fa","Fa",0,0,117,0
2328,239,44,5306,"Inside","2Story",7,7,1987,1987,"Gd","Gd","PConc","Gd","Gd","GLQ",495,354,1064,"GasA","Gd","Y",1064,703,1767,1,0,2,0,2,"Gd",5,1,"Attchd",2,504,"Gd","TA",441,35,0,0
2149,213,70,8749,"Inside","2Story",7,5,2003,2003,"Gd","TA","PConc","Gd","TA","GLQ",654,325,979,"GasA","Ex","Y",992,940,1932,1,0,2,1,3,"Gd",7,1,"Attchd",2,610,"TA","TA",0,120,0,0
624,187.5,92,10573,"Corner","1Story",6,6,1961,1961,"TA","TA","CBlock","TA","TA","Rec",1312,141,1453,"GasA","Ex","Y",1453,0,1453,1,0,2,0,3,"TA",6,1,"Attchd",2,530,"TA","TA",0,49,0,288
2280,140,62,6710,"FR3","SFoyer",6,5,1996,1997,"TA","TA","PConc","Ex","TA","Rec",16,0,920,"GasA","Ex","Y",936,0,936,2,0,0,1,0,"TA",3,0,"Attchd",2,460,"TA","TA",0,40,0,0
2275,283.463,93,15306,"Corner","1Story",8,5,2006,2007,"Gd","TA","PConc","Ex","TA","GLQ",80,1652,1732,"GasA","Ex","Y",1776,0,1776,1,0,2,0,3,"Gd",7,1,"Attchd",3,712,"TA","TA",0,0,0,0
242,308.03,44,17485,"Inside","1Story",7,5,2009,2010,"Gd","TA","PConc","Gd","TA","GLQ",1346,162,1508,"GasA","Ex","Y",1508,0,1508,1,0,1,0,1,"Gd",5,2,"Attchd",2,572,"TA","TA",0,0,0,0
2036,212.3,60,9780,"Inside","2Story",7,9,1950,2005,"TA","Ex","CBlock","TA","TA","LwQ",354,224,976,"GasA","Ex","Y",976,976,1952,0,0,1,1,4,"Gd",8,2,"Detchd",1,299,"TA","TA",285,0,0,216
2572,135,109,9723,"Corner","1Story",6,7,1963,1963,"TA","TA","CBlock","TA","TA","Unf",0,1008,1008,"GasA","TA","Y",1008,0,1008,0,0,1,0,2,"TA",5,0,"Attchd",2,430,"TA","TA",0,0,0,0
338,136,63,10475,"Inside","2Story",5,5,1991,1991,"TA","TA","PConc","Gd","TA","Rec",458,166,624,"GasA","Gd","Y",624,650,1274,0,0,1,1,3,"TA",6,0,"Detchd",2,576,"TA","TA",22,0,0,0
879,140,0,4435,"Inside","1Story",6,5,2003,2003,"Gd","TA","PConc","Gd","TA","GLQ",685,163,848,"GasA","Ex","Y",848,0,848,1,0,1,0,1,"Gd",4,0,"Attchd",2,420,"TA","TA",140,0,0,0
1276,105.5,59,7227,"Corner","1.5Unf",6,6,1954,1954,"TA","TA","CBlock","TA","TA","Unf",0,832,832,"GasA","Gd","Y",832,0,832,0,0,1,0,2,"Gd",4,0,"Detchd",2,528,"TA","TA",0,0,0,0
83,67.5,70,9800,"Corner","1Story",5,5,1920,1950,"TA","Fa","BrkTil","TA","TA","Unf",0,816,816,"GasA","TA","N",1012,0,1012,0,0,1,0,2,"TA",5,0,"Detchd",1,429,"TA","TA",121,0,80,0
2874,145.4,50,7000,"Inside","1.5Fin",6,7,1926,1950,"TA","TA","PConc","TA","TA","ALQ",374,487,861,"GasA","Ex","Y",861,424,1285,0,1,1,0,3,"TA",6,0,"Detchd",2,506,"TA","TA",96,0,132,0
2265,174,42,10331,"CulDSac","1Story",7,7,1985,1985,"TA","TA","CBlock","Gd","TA","ALQ",215,970,1265,"GasA","Gd","Y",1240,0,1240,0,1,2,0,3,"Gd",6,0,"Attchd",2,528,"TA","TA",232,0,0,0
555,110,63,9750,"Inside","1Story",5,5,1962,1962,"TA","TA","CBlock","TA","TA","LwQ",68,28,980,"GasA","Gd","Y",980,0,980,1,0,1,0,3,"TA",5,0,"Detchd",2,400,"TA","TA",0,28,0,0
62,260.4,59,10593,"Inside","1Story",7,5,1996,1996,"Gd","TA","PConc","Gd","TA","GLQ",919,801,1720,"GasA","Ex","Y",1720,0,1720,1,0,2,0,3,"Gd",7,1,"Attchd",2,527,"TA","TA",240,56,154,0
2801,274.3,75,9750,"Corner","2Story",7,6,1998,1998,"TA","TA","PConc","Gd","TA","GLQ",975,133,1108,"GasA","Ex","Y",1108,989,2097,1,0,2,1,3,"Gd",8,1,"Detchd",2,583,"TA","TA",253,170,0,0
1865,240.05,80,8000,"Inside","2Story",6,6,1970,1970,"TA","TA","CBlock","TA","TA","Rec",915,93,1008,"GasA","TA","Y",1403,1008,2411,1,0,2,1,4,"TA",8,1,"Attchd",2,570,"TA","TA",0,192,0,0
1916,129,0,18450,"Inside","2Story",6,5,1965,1979,"TA","Gd","CBlock","Gd","TA","LwQ",187,111,1021,"GasA","TA","Y",1465,915,2380,0,0,2,1,3,"TA",7,1,"CarPort",2,596,"TA","TA",0,265,0,0
38,306,98,11478,"Inside","1Story",8,5,2007,2008,"Gd","TA","PConc","Ex","TA","GLQ",1218,486,1704,"GasA","Ex","Y",1704,0,1704,1,0,2,0,3,"Gd",7,1,"Attchd",3,772,"TA","TA",0,50,0,0
12,185,0,7980,"Inside","1Story",6,7,1992,2007,"TA","Gd","PConc","Gd","TA","ALQ",935,233,1168,"GasA","Ex","Y",1187,0,1187,1,0,2,0,3,"TA",6,0,"Attchd",2,420,"TA","TA",483,21,0,0
1299,95,44,5914,"Inside","1.5Fin",5,9,1890,1996,"TA","TA","BrkTil","Fa","TA","Unf",0,684,684,"GasA","Gd","Y",684,396,1080,0,0,1,0,3,"Gd",5,0,"None",0,0,"None","None",0,165,30,0
566,280.75,32,2880,"Inside","2Story",7,5,2004,2005,"Gd","TA","PConc","Gd","TA","Unf",0,1376,1376,"GasA","Ex","Y",1376,1629,3005,0,0,2,1,3,"Gd",9,1,"BuiltIn",3,704,"TA","TA",0,177,0,0
2639,111.5,60,5520,"Corner","1.5Fin",4,6,1920,1980,"TA","TA","PConc","TA","Fa","LwQ",284,863,1147,"GasA","TA","N",1147,510,1657,0,0,1,0,4,"Fa",9,1,"Detchd",1,162,"Fa","Fa",0,0,0,0
961,316.5,79,14463,"Corner","1Story",9,5,2008,2008,"Ex","TA","PConc","Ex","TA","GLQ",1115,526,1641,"GasA","Ex","Y",1641,0,1641,1,0,2,0,3,"Ex",7,0,"Attchd",3,885,"TA","TA",0,95,0,0
1770,315.75,95,11787,"Inside","2Story",7,5,1996,1997,"Gd","TA","PConc","Gd","TA","GLQ",719,660,1379,"GasA","Ex","Y",1383,1015,2398,1,0,2,1,3,"Gd",8,1,"Attchd",3,834,"TA","TA",239,60,0,0
976,86,21,1526,"Inside","SFoyer",4,8,1970,2002,"TA","Gd","CBlock","Gd","TA","GLQ",515,115,630,"GasA","TA","Y",630,0,630,1,0,1,0,1,"Gd",3,0,"Attchd",1,286,"TA","TA",0,0,0,0
90,169,39,15410,"CulDSac","1Story",6,6,1974,2002,"TA","Gd","CBlock","TA","TA","BLQ",126,223,1208,"GasA","Ex","Y",1494,0,1494,1,0,2,0,3,"TA",7,2,"Attchd",2,461,"TA","TA",296,0,186,0
2678,75,51,6120,"Inside","1.5Fin",3,5,1930,1950,"Gd","TA","CBlock","TA","TA","Rec",347,381,728,"GasA","Ex","Y",728,434,1162,1,0,1,0,3,"TA",6,0,"Detchd",1,258,"Fa","Po",0,24,0,0
747,126.5,50,8635,"Inside","1Story",5,5,1925,1950,"TA","Fa","BrkTil","TA","TA","LwQ",134,938,1072,"GasA","TA","Y",1072,0,1072,1,0,1,0,2,"TA",5,0,"Detchd",5,1184,"Fa","TA",0,0,105,0
2547,167,0,10368,"CulDSac","1Story",6,6,1964,1964,"TA","TA","CBlock","TA","TA","ALQ",260,0,1008,"GasA","Ex","Y",1488,0,1488,1,0,1,1,3,"TA",7,1,"Attchd",2,430,"TA","TA",154,60,0,0
579,150,0,9991,"Corner","1Story",4,4,1976,1993,"TA","TA","CBlock","TA","TA","BLQ",1116,165,1281,"GasA","Ex","Y",1620,0,1620,1,0,2,0,3,"TA",8,1,"Attchd",2,490,"TA","TA",120,78,0,0
974,91,21,1596,"Inside","SLvl",4,5,1973,1973,"TA","TA","CBlock","Gd","TA","GLQ",462,0,462,"GasA","TA","Y",526,462,988,1,0,1,0,2,"TA",5,0,"BuiltIn",1,297,"TA","TA",120,101,0,0
2786,128.5,120,9560,"Corner","1Story",5,7,1972,1972,"TA","Gd","CBlock","TA","TA","Rec",360,504,864,"GasA","Ex","Y",864,0,864,0,0,1,0,3,"TA",5,0,"Attchd",1,288,"TA","TA",0,0,0,0
2173,110,80,8240,"Inside","1Story",6,6,1960,1960,"TA","TA","CBlock","TA","TA","Unf",0,1179,1179,"GasA","Gd","Y",1179,0,1179,0,0,1,0,2,"TA",5,0,"Attchd",2,622,"TA","TA",0,0,0,0
866,261.5,0,11885,"Inside","2Story",8,5,2001,2001,"Gd","TA","PConc","Gd","TA","GLQ",990,309,1299,"GasA","Ex","Y",1299,573,1872,1,0,2,1,3,"Ex",7,1,"BuiltIn",2,531,"TA","TA",160,122,0,0
1604,119.5,37,6951,"CulDSac","1Story",5,5,1984,1985,"TA","TA","CBlock","TA","TA","ALQ",658,218,876,"GasA","TA","Y",923,0,923,1,0,1,0,3,"TA",5,0,"Attchd",1,264,"TA","TA",362,0,0,0
1070,336.86,58,10110,"Inside","1Story",9,5,2008,2008,"Ex","TA","PConc","Gd","TA","GLQ",372,1486,1858,"GasA","Ex","Y",1866,0,1866,1,0,2,0,2,"Ex",7,1,"Attchd",3,870,"TA","TA",0,48,0,0
2619,207.5,47,16321,"CulDSac","1Story",5,6,1957,1997,"TA","TA","CBlock","TA","TA","BLQ",1277,207,1484,"GasA","TA","Y",1600,0,1600,1,0,1,0,2,"TA",6,2,"Attchd",1,319,"TA","TA",288,258,0,0
255,138.5,82,14235,"Inside","1.5Fin",6,8,1900,1993,"TA","TA","PConc","Fa","Gd","Unf",0,676,676,"GasA","TA","Y",831,614,1445,0,0,2,0,3,"TA",6,0,"Detchd",2,484,"TA","TA",0,59,0,0
2349,188.9,81,10530,"Inside","2Story",7,5,1978,1978,"TA","TA","CBlock","TA","TA","Unf",0,945,945,"GasA","TA","Y",945,912,1857,0,0,2,1,4,"TA",8,1,"Attchd",2,482,"TA","TA",400,105,0,0
1676,113.5,21,2205,"Inside","2Story",6,6,1973,1973,"TA","TA","CBlock","TA","TA","ALQ",312,213,525,"GasA","TA","Y",525,567,1092,0,0,1,1,3,"TA",6,0,"Detchd",1,264,"TA","TA",144,0,0,0
2407,202.665,40,6792,"Inside","1Story",7,5,2005,2006,"Gd","TA","PConc","Gd","TA","Unf",0,1368,1368,"GasA","Ex","Y",1368,0,1368,0,0,2,0,2,"Gd",6,1,"Attchd",2,474,"TA","TA",132,35,0,0
1563,275,44,3842,"Inside","1Story",8,5,2004,2005,"Gd","TA","PConc","Ex","TA","GLQ",1373,221,1594,"GasA","Ex","Y",1646,0,1646,1,1,2,0,2,"Gd",5,1,"Attchd",2,482,"TA","TA",128,53,0,155
997,173,0,15038,"Corner","2Story",6,5,1996,1996,"TA","TA","PConc","Gd","TA","Rec",138,778,916,"GasA","Gd","Y",916,720,1636,0,0,2,1,3,"TA",7,1,"Attchd",2,386,"TA","TA",168,84,0,0
532,234.5,68,8736,"Inside","1Story",7,5,2003,2004,"Gd","TA","PConc","Gd","TA","GLQ",771,422,1553,"GasA","Ex","Y",1553,0,1553,1,0,2,0,3,"Gd",6,0,"Attchd",2,588,"TA","TA",192,88,0,0
2846,160,0,7082,"Inside","2Story",5,8,1916,1995,"TA","TA","PConc","TA","TA","Unf",0,686,686,"GasA","Gd","Y",948,980,1928,0,0,2,0,5,"TA",10,0,"None",0,0,"None","None",0,0,228,0
1165,146,34,3604,"Corner","2Story",7,5,2007,2007,"Gd","TA","PConc","Gd","TA","Unf",0,689,689,"GasA","Ex","Y",703,689,1392,0,0,2,0,2,"Gd",5,0,"Detchd",2,540,"TA","TA",0,102,0,0
1617,168,0,10364,"Inside","2Story",6,5,1995,1996,"TA","TA","PConc","Gd","TA","Unf",0,806,806,"GasA","Gd","Y",806,766,1572,0,0,2,1,3,"TA",7,1,"BuiltIn",2,373,"TA","TA",0,40,0,0
